O*NET-SOC Code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation Monitoring,Operation and Control,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,major,minor,broad,detailed
19-3093.00,4.12,4.25,3.12,3.0,4.25,0.0,0.0,0.0,3.5,3.62,3.62,0.0,0.25,2.62,0.88,3.25,2.12,0.5,0.62,2.12,3.25,0.12,1.62,4.62,0.0,3.12,2.0,3.38,4.38,1.75,1.88,0.12,3.12,0.12,4.88,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers,Historians
19-3094.00,4.25,4.62,3.88,3.25,4.75,0.0,0.0,0.0,3.25,3.88,3.38,0.25,0.62,2.5,2.88,3.88,2.5,0.12,0.0,2.75,2.88,0.12,0.88,4.62,0.0,3.88,2.88,3.88,4.75,3.62,3.12,0.25,3.25,0.0,4.5,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers,Political Scientists
19-3099.01,4.0,4.0,4.0,3.88,4.25,0.0,0.0,0.0,3.0,3.88,3.12,2.25,2.88,3.25,3.75,3.88,3.25,2.38,1.5,3.12,3.5,1.5,1.0,4.38,0.62,2.0,3.38,3.25,4.0,3.5,4.12,1.88,3.62,0.5,4.0,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers,"Social Scientists and Related Workers, All Other"
19-4011.01,3.0,3.38,3.5,3.0,4.0,0.75,1.0,0.0,3.0,3.0,3.0,1.25,1.62,3.0,3.0,3.25,2.62,3.0,2.62,0.38,2.62,0.75,1.0,3.88,1.25,3.0,2.75,3.0,3.12,2.88,2.75,0.88,3.0,2.12,3.62,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Agricultural and Food Science Technicians,Agricultural and Food Science Technicians
19-4011.02,3.25,3.38,3.0,3.0,3.62,2.12,1.88,0.0,3.12,3.0,2.88,0.75,1.75,2.62,3.12,3.12,2.12,2.88,1.5,0.88,2.12,0.5,3.12,4.0,1.88,3.25,2.38,3.0,3.25,2.25,2.5,0.5,2.88,1.88,3.25,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Agricultural and Food Science Technicians,Agricultural and Food Science Technicians
19-4021.00,3.5,3.88,3.5,3.12,4.0,1.75,1.38,0.12,2.62,3.75,2.62,1.12,1.75,2.25,3.75,3.62,1.62,3.0,2.75,1.75,2.75,2.12,3.12,4.62,1.25,3.5,2.12,2.62,3.62,2.75,2.88,1.62,3.0,2.88,3.75,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Biological Technicians,Biological Technicians
19-4031.00,3.12,3.88,3.12,3.0,4.0,2.75,2.88,0.25,3.25,3.25,3.0,1.25,1.62,2.62,3.0,3.75,2.62,3.12,2.75,2.75,2.25,0.62,3.25,4.0,2.75,3.88,2.88,3.0,3.38,2.88,3.0,1.38,3.12,2.75,3.75,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Chemical Technicians,Chemical Technicians
19-4041.01,2.62,3.5,3.0,2.88,3.0,0.25,0.62,0.38,2.38,3.0,2.0,0.75,1.38,2.5,2.12,2.88,1.88,3.12,2.88,2.25,2.62,0.62,2.25,4.0,0.25,3.62,2.25,2.88,3.5,2.62,2.25,1.12,2.88,1.75,3.5,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Geological and Petroleum Technicians,Geological and Petroleum Technicians
19-4041.02,3.12,2.88,2.88,3.25,3.62,2.88,3.0,0.5,2.88,3.12,2.75,1.12,1.75,3.0,3.62,3.62,2.38,3.12,2.88,2.25,2.12,1.38,3.0,3.62,3.0,3.5,2.38,2.62,3.0,2.75,2.62,0.75,2.62,3.0,3.12,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Geological and Petroleum Technicians,Geological and Petroleum Technicians
19-4051.01,3.25,3.5,3.0,2.88,3.38,3.38,1.75,0.12,2.25,3.62,2.38,0.75,0.88,1.88,3.5,3.75,1.88,4.25,3.88,0.12,2.25,0.75,3.25,3.88,3.62,2.62,1.88,2.25,3.5,2.75,2.62,1.62,2.75,3.62,2.88,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Nuclear Technicians,Nuclear Technicians
19-4051.02,3.12,3.88,3.12,3.0,4.0,1.25,0.5,0.0,3.0,3.38,3.25,1.12,1.12,2.75,3.12,4.0,2.75,3.62,2.88,0.25,2.75,0.62,3.12,4.0,0.75,3.12,2.75,2.88,3.38,3.0,2.88,0.62,3.12,2.75,3.62,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Nuclear Technicians,Nuclear Technicians
19-4061.00,3.5,3.62,3.25,3.0,3.75,0.0,0.88,0.0,2.88,2.88,3.12,1.88,1.88,2.88,3.75,3.25,2.5,2.25,0.62,2.38,2.62,3.38,3.0,4.5,0.25,3.12,2.75,3.25,3.62,2.5,2.62,1.38,3.12,1.5,3.62,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Social Science Research Assistants,Social Science Research Assistants
19-4061.01,3.12,3.75,3.12,3.12,3.5,0.0,0.0,0.0,2.75,3.25,2.38,1.25,1.25,2.5,2.88,3.25,3.12,1.62,1.62,2.25,2.75,0.5,0.25,3.75,0.0,2.38,3.12,3.0,3.75,3.12,2.88,0.5,3.38,0.0,3.62,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Social Science Research Assistants,Social Science Research Assistants
19-4091.00,3.0,3.75,3.25,3.25,4.0,2.25,2.0,0.0,3.0,3.25,2.88,1.25,2.0,2.75,3.25,3.75,2.88,3.0,2.88,2.88,3.12,0.5,2.88,4.0,2.0,3.25,2.75,3.25,3.5,3.12,3.12,1.0,3.25,2.75,3.75,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians","Environmental Science and Protection Technicians, Including Health"
19-4092.00,3.62,4.25,3.62,3.38,4.0,1.75,2.38,0.0,3.75,3.75,3.38,1.12,1.0,3.0,3.12,3.5,2.25,2.62,2.88,1.62,3.12,1.25,2.25,4.38,1.5,3.25,2.88,3.38,4.12,3.0,2.62,0.88,3.25,2.12,4.12,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians",Forensic Science Technicians
19-4093.00,3.12,3.5,3.38,3.62,3.62,1.88,2.25,0.88,3.12,3.62,3.38,1.38,2.12,3.38,3.38,3.75,2.38,2.5,2.75,1.25,2.62,1.75,2.88,3.88,1.75,2.12,2.88,3.25,3.5,2.62,2.88,1.25,3.25,1.75,3.38,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians",Forest and Conservation Technicians
19-4099.01,3.25,3.62,3.38,3.0,3.5,1.25,1.38,0.88,3.12,3.0,2.75,1.25,1.75,2.62,3.12,3.62,2.62,3.5,2.88,2.25,2.75,1.12,3.75,3.75,1.12,2.62,2.75,3.12,3.5,2.88,2.88,1.62,3.25,2.75,3.38,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Technicians, All Other"
19-4099.02,3.25,3.62,3.12,3.12,3.25,2.88,2.25,1.38,2.88,3.5,2.75,1.25,1.12,2.75,3.12,3.5,2.75,2.88,2.88,3.0,2.62,1.0,3.25,3.88,2.75,3.12,3.0,2.88,3.38,3.25,3.12,0.88,3.0,2.88,3.62,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Technicians, All Other"
19-4099.03,3.5,3.75,3.38,3.38,3.88,2.0,2.38,0.12,3.25,3.62,3.0,1.38,1.88,2.5,3.88,3.62,2.5,3.12,2.25,1.88,2.88,3.25,2.88,4.12,1.5,2.75,2.62,2.75,3.62,3.12,3.0,1.62,2.75,2.38,3.75,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Technicians, All Other"
21-1011.00,3.75,4.38,3.25,3.62,4.0,0.0,0.0,0.0,3.25,3.88,3.62,1.0,1.38,3.12,2.25,3.88,3.12,1.25,0.12,1.38,3.88,0.5,0.88,4.12,0.0,1.38,4.0,4.88,4.12,3.12,3.25,0.62,3.25,0.25,4.0,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors,Substance Abuse and Behavioral Disorder Counselors
21-1012.00,3.75,4.38,3.5,3.5,4.0,0.0,0.0,0.0,3.38,3.88,3.88,0.5,0.5,3.12,2.0,3.75,3.38,1.25,0.38,0.0,3.62,0.75,0.25,4.38,0.0,0.88,4.0,4.75,4.12,3.38,3.5,1.0,3.88,0.0,4.25,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors,"Educational, Guidance, School, and Vocational Counselors"
21-1013.00,4.0,5.0,4.12,3.62,4.0,0.0,0.0,0.0,3.88,4.0,3.75,0.62,0.5,3.0,2.12,4.0,3.88,1.0,0.0,3.5,4.0,0.38,0.75,4.12,0.0,3.25,4.12,5.88,4.25,3.62,3.75,0.5,3.12,0.0,4.0,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors,Marriage and Family Therapists
21-1014.00,4.12,5.0,3.88,3.75,4.5,0.0,0.0,0.0,3.25,4.12,3.88,0.75,0.88,3.12,2.38,4.25,3.62,0.75,0.0,3.38,4.38,0.5,1.12,4.62,0.0,3.75,4.0,5.5,4.38,3.75,4.0,0.62,3.25,0.0,4.12,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors,Mental Health Counselors
21-1015.00,3.38,4.12,3.75,3.75,3.88,0.0,0.0,0.0,3.38,3.62,3.62,1.0,0.38,3.0,1.75,4.0,3.38,1.38,0.0,3.5,3.75,0.75,0.25,4.0,0.0,2.38,4.0,4.88,4.0,3.75,3.5,0.75,3.25,0.0,3.62,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors,Rehabilitation Counselors
21-1021.00,3.5,4.62,3.25,4.0,4.12,0.0,0.0,0.0,3.38,3.75,3.12,1.12,1.12,3.12,1.88,3.75,3.88,1.62,1.12,3.5,3.88,0.5,0.5,4.12,0.0,3.12,4.25,4.5,4.38,3.0,3.38,0.75,3.75,0.0,4.12,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers,"Child, Family, and School Social Workers"
21-1022.00,3.88,4.75,3.62,4.12,4.12,0.0,0.25,0.0,3.25,4.0,3.75,0.88,1.12,3.25,2.12,3.88,3.0,0.88,1.0,3.25,3.62,0.75,1.0,4.25,0.0,2.75,4.25,5.25,4.25,2.25,3.62,0.62,3.5,0.0,4.25,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers,Healthcare Social Workers
21-1023.00,4.0,4.25,3.75,4.0,4.12,0.0,0.0,0.0,3.75,3.88,4.0,0.62,0.62,3.0,2.0,4.25,3.88,1.62,0.0,2.88,4.0,0.75,1.12,4.12,0.0,3.25,4.12,5.12,4.25,3.12,3.25,0.5,3.88,0.0,4.0,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers,Mental Health and Substance Abuse Social Workers
21-1091.00,3.38,4.0,3.38,3.38,4.0,0.0,0.0,0.0,3.38,3.25,3.88,2.0,2.12,3.25,1.88,3.62,3.0,1.62,0.75,3.12,3.25,0.25,0.75,4.0,0.0,2.88,3.25,3.75,4.12,2.88,3.0,0.62,3.25,0.0,4.0,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Miscellaneous Community and Social Service Specialists,Health Educators 
21-1092.00,3.12,4.12,3.12,3.5,4.0,0.0,0.0,0.0,3.0,3.62,2.5,0.0,0.0,2.38,1.12,4.12,3.38,1.12,1.25,2.0,3.88,0.5,1.0,4.12,0.0,1.38,4.0,4.5,4.0,2.62,2.88,0.38,3.12,0.0,3.75,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Miscellaneous Community and Social Service Specialists,Probation Officers and Correctional Treatment Specialists
21-1093.00,3.12,4.0,3.0,3.38,3.75,0.0,0.0,0.0,3.12,3.38,3.25,1.38,1.5,2.38,2.12,3.75,3.0,1.62,1.62,1.38,3.12,0.62,1.88,3.88,0.0,1.5,4.0,4.38,4.0,2.75,2.88,0.5,3.25,0.38,3.75,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Miscellaneous Community and Social Service Specialists,Social and Human Service Assistants
21-1094.00,3.62,4.0,3.5,3.62,3.75,0.0,0.0,0.0,3.62,3.38,3.75,1.62,1.75,3.0,2.12,3.75,3.0,1.88,1.75,0.75,3.75,0.75,1.38,4.0,0.0,0.5,3.88,4.25,4.0,3.25,3.25,1.0,3.38,1.12,3.88,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Miscellaneous Community and Social Service Specialists,Community Health Workers
21-2011.00,4.12,4.62,3.88,4.25,4.38,0.12,0.5,0.0,4.38,3.75,4.5,3.88,3.12,4.0,2.75,4.0,4.38,1.88,1.88,2.25,4.75,1.0,0.88,4.75,0.0,1.25,4.5,5.12,4.75,3.38,4.12,0.75,3.88,0.12,4.5,Community and Social Service Occupations,Religious Workers,Clergy,Clergy
21-2021.00,3.38,3.62,3.5,3.75,3.75,0.0,0.0,0.0,3.5,3.25,3.62,3.25,2.75,3.62,2.88,3.88,3.25,1.62,1.5,2.62,3.62,0.75,1.12,3.75,0.0,1.38,3.38,4.5,4.0,2.88,3.25,0.88,3.62,0.0,3.75,Community and Social Service Occupations,Religious Workers,"Directors, Religious Activities and Education","Directors, Religious Activities and Education"
23-1011.00,4.25,4.5,4.0,3.5,4.88,0.0,0.0,0.0,3.25,4.38,3.25,1.5,1.25,3.12,2.0,3.62,4.25,1.25,1.0,2.88,4.75,0.5,0.0,4.5,0.0,1.12,3.62,3.88,4.88,3.38,3.0,0.75,3.75,0.0,4.62,Legal Occupations,"Lawyers, Judges, and Related Workers",Lawyers and Judicial Law Clerks,Lawyers
23-1012.00,4.0,4.0,3.75,3.0,4.25,0.0,0.0,0.0,2.75,3.5,2.88,0.0,0.5,0.62,1.75,3.25,2.62,0.88,0.0,0.75,3.5,0.38,0.75,4.5,0.0,0.0,2.88,3.5,4.25,2.38,2.38,0.88,3.38,0.38,4.25,Legal Occupations,"Lawyers, Judges, and Related Workers",Lawyers and Judicial Law Clerks,Judicial Law Clerks
23-1021.00,4.25,5.75,4.12,3.12,5.12,0.0,0.0,0.0,3.0,4.62,3.0,1.25,0.62,2.62,2.5,4.12,3.62,0.75,0.0,2.12,3.62,1.0,0.62,5.12,0.0,0.88,2.88,3.88,5.12,2.88,3.25,0.5,3.12,0.0,5.0,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers","Administrative Law Judges, Adjudicators, and Hearing Officers"
23-1022.00,3.75,4.88,3.5,3.38,4.62,0.0,0.0,0.0,2.88,4.0,2.75,0.0,0.0,1.88,1.5,3.75,5.0,0.62,0.25,1.62,4.62,0.5,0.38,4.38,0.0,0.75,3.25,3.75,4.5,2.88,2.88,0.5,2.88,0.0,4.12,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers","Arbitrators, Mediators, and Conciliators"
23-1023.00,4.88,5.88,4.75,3.38,5.62,0.0,0.0,0.0,3.38,5.0,3.25,0.0,0.0,3.12,2.38,4.12,4.12,0.38,0.0,2.62,4.12,0.38,0.5,5.12,0.0,1.62,3.0,4.12,5.38,3.38,3.38,0.5,3.75,0.0,5.12,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers","Judges, Magistrate Judges, and Magistrates"
23-2011.00,3.0,3.75,2.62,3.12,3.25,0.0,0.0,0.0,2.5,2.75,2.5,0.25,0.25,2.25,1.75,2.88,2.5,1.25,0.0,1.0,2.62,0.5,0.25,3.5,0.0,0.88,2.88,3.0,3.5,2.25,2.0,0.62,3.0,0.0,3.75,Legal Occupations,Legal Support Workers,Paralegals and Legal Assistants,Paralegals and Legal Assistants
23-2091.00,2.88,3.5,2.25,2.25,3.0,0.38,0.12,0.0,0.5,2.12,1.62,0.0,0.0,0.5,0.62,2.75,1.5,2.0,1.75,0.38,1.25,0.0,1.88,3.5,0.25,0.0,2.25,2.25,3.0,1.12,0.88,0.0,2.62,0.62,3.25,Legal Occupations,Legal Support Workers,Miscellaneous Legal Support Workers,Court Reporters
23-2093.00,2.75,3.75,2.88,2.88,3.75,0.0,0.0,0.0,2.38,2.88,2.25,1.25,1.38,2.62,2.25,3.0,2.62,0.75,0.0,1.75,2.75,0.38,0.25,3.62,0.0,0.38,2.88,2.75,3.62,2.0,1.38,0.0,3.5,0.0,3.75,Legal Occupations,Legal Support Workers,Miscellaneous Legal Support Workers,"Title Examiners, Abstractors, and Searchers"
25-1011.00,4.25,4.25,3.62,3.38,4.5,0.0,0.0,0.0,4.62,3.88,4.5,0.88,1.12,2.38,3.5,4.12,2.88,1.0,0.25,2.75,3.38,1.12,1.0,5.0,0.0,1.62,3.12,3.5,4.88,3.38,3.25,0.75,3.5,0.0,5.0,"Education, Training, and Library Occupations",Postsecondary Teachers,"Business Teachers, Postsecondary","Business Teachers, Postsecondary"
25-1021.00,4.38,4.38,4.0,3.25,4.5,1.25,1.0,0.0,4.5,3.88,4.5,1.12,1.75,2.88,3.62,3.75,2.5,1.12,0.88,2.62,3.12,3.0,2.0,4.88,0.12,2.5,2.88,3.5,4.88,3.38,3.38,1.62,3.62,0.88,4.75,"Education, Training, and Library Occupations",Postsecondary Teachers,"Math and Computer Teachers, Postsecondary","Computer Science Teachers, Postsecondary"
25-1022.00,4.0,4.0,3.75,2.88,4.38,0.0,0.0,0.0,4.38,3.38,4.12,0.62,1.12,2.62,4.62,3.75,2.75,0.12,0.0,2.38,2.88,0.5,0.62,4.75,0.0,2.12,2.62,3.25,4.25,2.88,3.0,0.25,3.25,0.0,4.75,"Education, Training, and Library Occupations",Postsecondary Teachers,"Math and Computer Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary"
25-1031.00,4.38,4.25,4.25,3.38,4.5,0.0,0.0,0.0,4.62,4.12,4.38,1.12,1.75,3.12,3.75,4.12,2.88,0.62,0.0,3.0,3.5,0.62,0.88,5.0,0.0,2.38,3.12,3.5,4.75,3.25,3.25,0.88,3.5,0.0,5.0,"Education, Training, and Library Occupations",Postsecondary Teachers,"Engineering and Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary"
25-1032.00,3.75,4.0,3.38,2.75,4.12,0.0,0.0,0.0,4.5,3.75,4.0,1.5,1.5,2.88,4.38,4.0,2.88,1.62,0.0,2.88,3.0,1.62,1.38,4.88,0.0,3.25,2.75,3.5,4.5,3.12,3.0,1.75,3.0,0.25,4.5,"Education, Training, and Library Occupations",Postsecondary Teachers,"Engineering and Architecture Teachers, Postsecondary","Engineering Teachers, Postsecondary"
25-1041.00,4.5,4.5,3.5,3.38,4.12,0.0,0.12,0.0,4.88,3.88,4.25,1.75,2.0,3.12,3.38,4.25,2.75,1.25,1.25,2.25,3.12,1.25,2.38,5.12,0.0,3.38,3.0,3.25,5.0,3.12,3.25,0.5,3.62,0.75,5.0,"Education, Training, and Library Occupations",Postsecondary Teachers,"Life Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary"
25-1042.00,4.25,4.38,3.75,3.0,4.12,0.0,0.0,0.0,4.38,4.0,4.12,2.0,2.12,2.88,3.0,3.75,2.75,0.88,0.0,2.75,3.0,0.38,1.0,5.12,0.0,3.75,3.0,3.5,4.75,3.12,3.12,0.12,3.38,0.0,4.88,"Education, Training, and Library Occupations",Postsecondary Teachers,"Life Sciences Teachers, Postsecondary","Biological Science Teachers, Postsecondary"
25-1043.00,4.25,4.5,4.0,3.12,4.12,0.0,0.0,0.0,4.75,3.62,4.25,1.5,1.88,3.0,3.0,4.0,2.88,1.0,1.0,2.75,3.25,1.0,0.62,5.0,0.0,3.38,3.12,3.5,4.88,3.25,3.12,0.5,3.38,0.0,5.0,"Education, Training, and Library Occupations",Postsecondary Teachers,"Life Sciences Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary"
25-1051.00,4.0,4.75,3.88,3.12,4.12,0.5,0.38,0.0,4.12,4.0,4.25,1.5,2.38,3.12,4.0,4.12,3.0,1.0,0.0,3.12,3.12,0.5,1.12,5.0,0.25,4.12,3.12,3.62,4.75,3.75,3.75,0.75,3.75,0.75,4.88,"Education, Training, and Library Occupations",Postsecondary Teachers,"Physical Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25-1052.00,4.38,4.25,4.0,3.0,4.38,0.12,0.88,0.0,4.5,3.88,4.25,1.62,1.88,2.88,3.5,4.12,2.12,1.62,0.25,3.0,2.75,1.0,2.25,5.12,0.0,4.5,3.0,3.12,5.0,3.25,3.38,0.62,3.5,0.88,4.88,"Education, Training, and Library Occupations",Postsecondary Teachers,"Physical Sciences Teachers, Postsecondary","Chemistry Teachers, Postsecondary"
25-1053.00,4.0,4.12,4.12,3.38,4.12,0.0,0.0,0.0,4.25,4.0,4.12,2.0,2.0,3.12,3.12,4.0,2.88,0.5,0.0,3.12,3.12,0.25,1.62,5.0,0.0,4.5,3.25,3.88,4.25,3.38,3.25,0.12,3.62,0.38,5.0,"Education, Training, and Library Occupations",Postsecondary Teachers,"Physical Sciences Teachers, Postsecondary","Environmental Science Teachers, Postsecondary"
25-1054.00,4.38,4.62,4.0,3.25,4.5,1.12,1.12,0.0,4.25,3.75,4.25,1.12,2.0,3.0,4.0,4.0,2.25,1.12,0.0,2.62,3.12,1.12,2.0,5.25,1.12,4.5,3.0,3.38,5.0,3.38,3.25,0.38,3.38,1.0,5.12,"Education, Training, and Library Occupations",Postsecondary Teachers,"Physical Sciences Teachers, Postsecondary","Physics Teachers, Postsecondary"
25-1061.00,4.12,4.25,3.88,3.25,4.0,0.0,0.0,0.0,4.0,4.0,3.88,1.12,1.5,3.0,2.75,3.88,2.88,0.0,0.0,2.62,3.25,0.25,0.38,4.88,0.0,3.88,2.88,3.88,4.75,3.25,3.62,0.12,3.75,0.0,4.75,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary"
25-1062.00,4.0,4.38,3.75,3.0,4.25,0.0,0.0,0.0,3.88,3.75,4.12,0.62,1.12,3.0,2.25,4.0,2.38,0.38,0.0,2.62,3.12,0.62,0.75,5.0,0.0,3.75,3.0,3.38,4.75,3.0,3.12,0.5,3.5,0.0,4.75,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25-1063.00,4.0,4.12,3.5,3.0,3.88,0.0,0.0,0.0,4.0,3.62,3.88,1.25,1.38,2.75,3.5,3.62,2.38,1.25,0.0,3.12,2.62,1.38,0.5,4.25,0.0,3.12,2.5,3.62,4.12,3.0,3.12,1.0,3.0,0.0,4.0,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary","Economics Teachers, Postsecondary"
25-1064.00,4.25,4.38,3.62,3.5,4.12,0.0,0.0,0.0,4.5,3.75,4.12,1.25,1.38,3.0,3.12,4.12,2.5,0.38,0.0,2.88,3.0,0.88,0.75,5.0,0.0,3.88,3.12,3.38,4.88,2.88,2.88,0.5,3.38,0.0,5.0,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary","Geography Teachers, Postsecondary"
25-1065.00,4.12,4.12,3.75,3.0,4.12,0.0,0.0,0.0,4.25,3.62,4.12,1.0,1.12,3.0,2.38,4.0,2.62,0.0,0.0,3.12,3.0,0.12,0.25,4.75,0.0,3.38,3.0,3.62,4.75,3.12,3.12,0.12,3.25,0.0,4.75,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary","Political Science Teachers, Postsecondary"
25-1066.00,4.5,4.62,3.62,3.0,4.25,0.0,0.0,0.0,4.38,4.0,5.0,0.75,1.12,3.12,3.38,4.12,2.75,0.25,0.0,2.5,3.12,0.88,0.88,5.0,0.0,4.25,3.12,4.62,4.88,3.12,3.38,0.5,3.75,0.0,5.0,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary","Psychology Teachers, Postsecondary"
25-1067.00,4.38,4.25,3.75,3.0,4.12,0.0,0.0,0.0,4.38,3.88,4.5,0.75,1.12,3.12,3.0,4.12,3.0,0.0,0.0,2.88,3.0,0.0,0.5,4.88,0.0,3.62,2.88,3.62,4.75,3.0,3.0,0.0,3.75,0.0,4.88,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary","Sociology Teachers, Postsecondary"
25-1071.00,4.12,4.88,4.0,3.5,4.38,0.0,0.5,0.0,4.38,3.88,4.12,1.25,1.5,3.12,2.88,4.0,3.0,1.38,0.0,2.5,3.25,0.25,1.0,5.0,0.0,3.38,3.25,3.75,4.75,3.12,3.12,0.5,3.75,0.25,4.88,"Education, Training, and Library Occupations",Postsecondary Teachers,"Health Teachers, Postsecondary","Health Specialties Teachers, Postsecondary"
25-1072.00,4.38,4.5,4.0,3.88,4.38,0.0,0.12,0.0,4.62,4.0,4.25,0.88,1.5,3.12,2.88,4.25,2.88,1.5,1.38,2.5,3.38,0.88,2.0,5.0,0.12,3.25,3.25,4.25,4.75,3.38,3.38,0.62,3.62,0.75,4.62,"Education, Training, and Library Occupations",Postsecondary Teachers,"Health Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary"
25-1081.00,4.0,4.5,3.88,3.12,4.0,0.0,0.0,0.0,4.12,3.75,4.25,1.0,1.62,3.0,2.38,4.25,2.88,0.0,0.0,2.75,2.88,0.12,0.5,4.88,0.0,2.5,3.12,3.62,4.88,3.12,3.12,0.25,3.75,0.0,4.75,"Education, Training, and Library Occupations",Postsecondary Teachers,"Education and Library Science Teachers, Postsecondary","Education Teachers, Postsecondary"
25-1082.00,4.12,4.5,3.75,3.5,4.12,0.0,0.0,0.0,4.0,3.62,4.25,1.38,1.5,3.0,2.38,4.25,2.62,0.62,0.0,2.25,2.88,0.88,1.12,4.88,0.0,2.12,2.88,3.62,4.75,3.38,3.25,0.75,3.62,0.0,4.88,"Education, Training, and Library Occupations",Postsecondary Teachers,"Education and Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary"
25-1111.00,4.0,4.5,3.62,3.0,4.12,0.0,0.0,0.0,4.12,3.75,4.0,1.0,1.12,3.12,2.0,4.0,2.88,0.12,0.0,2.38,3.12,0.12,0.25,4.75,0.0,2.0,3.0,3.62,4.75,3.12,3.0,0.0,3.38,0.0,4.38,"Education, Training, and Library Occupations",Postsecondary Teachers,"Law, Criminal Justice, and Social Work Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary"
